Академический,Единая Россия,Бычкова Елена Валерьевна
Академический,Новые люди,Достовалов Дмитрий Игоревич
Академический,Новые люди,Дубровина Ольга Николаевна
Академический,КПРФ,Ефремова Ирина Сергеевна
Академический,Новые люди,Зорин Андрей Викторович
Академический,КПРФ,Канева Светлана Юрьевна
Академический,Единая Россия,Паршенкова Татьяна Константиновна
Академический,СРЗП,Петуховский Станислав Викторович
Академический,Новые люди,Пикалёва Екатерина Сергеевна
Академический,Яблоко,Ращеня Иван Николаевич
Академический,СРЗП,Ростов Евгений Георгиевич
Академический,КПРФ,Рыжков Егор Владимирович
Академический,Единая Россия,Савицкая Валентина Михайловна
Академический,Самовыдвижение,Смирнов Левон Леонидович
Академический,Единая Россия,Степанов Евгений Евгеньевич
Академический,Яблоко,Черномашенцева Татьяна Васильевна
Академический,СРЗП,Айсина Оксана Алексеевна
Академический,Яблоко,Артемьев Игорь Андреевич
Академический,КПРФ,Багина Дарья Александровна
Академический,КПРФ,Дмитренко Алексей Алексеевич
Академический,Единая Россия,Зарубина Валентина Владимировна
Академический,Яблоко,Карпенко Ангелина Игоревна
Академический,КПРФ,Кондратенко Александр Евгеньевич
Академический,Единая Россия,Копьев Илья Сергеевич
Академический,КПРФ,Лыжникова Екатерина Григорьевна
Академический,Единая Россия,Лялин Александр Иванович
Академический,Яблоко,Максимова Юлия Сергеевна
Академический,Единая Россия,Ненадкевич Галина Николаевна
Академический,Яблоко,Хананшвили Нодари Лотариевич
Академический,СРЗП,Царегородцев Александр Витальевич
Академический,КПРФ,Брынский Артем Сергеевич
Академический,КПРФ,Ванёв Никита Игоревич
Академический,СРЗП,Горячев Валерий Валерьевич
Академический,Единая Россия,Демина Людмила Михайловна
Академический,КПРФ,Жадан Мария Андреевна
Академический,Новые люди,Журавская Наталия Владимировна
Академический,Яблоко,Коробков Сергей Александрович
Академический,Новые люди,Малько Евгений Андреевич
Академический,Единая Россия,Моргун Татьяна Сергеевна
Академический,КПРФ,Надирова Анна Алексеевна
Академический,Единая Россия,Некрасова Римма Константиновна
Академический,Единая Россия,Новицкий Евгений Григорьевич
Академический,СРЗП,Тихонов Михаил Павлович
Академический,Новые люди,Чазов Денис Алексеевич
Алексеевский,КПРФ,Абдуллаев Алмас Алишерович
Алексеевский,Единая Россия,Аксянова Ольга Борисовна
Алексеевский,Новые люди,Балтина Надежда Геннадьевна
Алексеевский,КПРФ,Бухарова Наталья Олеговна
Алексеевский,Новые люди,Герасюта Виктор Викторович
Алексеевский,Яблоко,Горчаков Дмитрий Алексеевич
Алексеевский,Единая Россия,Дулгер Наталья Николаевна
Алексеевский,Яблоко,Егоров Петр Владимирович
Алексеевский,СРЗП,Корбан Иван Сергеевич
Алексеевский,Единая Россия,Марчуков Евгений Ювенальевич
Алексеевский,Единая Россия,Мельникова Марина Николаевна
Алексеевский,КПРФ,Мясников Валентин Леонидович
Алексеевский,Яблоко,Павлов Александр Александрович
Алексеевский,КПРФ,Перфильева Гита Сергеевна
Алексеевский,Единая Россия,Позднякова Олеся Константиновна
Алексеевский,СРЗП,Сократов Максим Николаевич
Алексеевский,КПРФ,Третьяков Андрей Викторович
Алексеевский,СРЗП,Агеев Павел Витальевич
Алексеевский,Яблоко,Бровин Алексей Игоревич
Алексеевский,Единая Россия,Будакова Оксана Петровна
Алексеевский,Единая Россия,Гридчина Александра Владимировна
Алексеевский,Единая Россия,Гуцалюк Артем Вениаминович
Алексеевский,СРЗП,Дорошев Алексей Александрович
Алексеевский,КПРФ,Калинин Валерий Павлович
Алексеевский,СРЗП,Киселева Алена Игоревна
Алексеевский,Единая Россия,Кича Татьяна Григорьевна
Алексеевский,Новые люди,Котов Евгений Сергеевич
Алексеевский,КПРФ,Малкин Дмитрий Викторович
Алексеевский,КПРФ,Мясникова Людмила Григорьевна
Алексеевский,КПРФ,Травкин Никон Алексеевич
Алексеевский,Единая Россия,Шулая Лаврентий Александрович
Алтуфьевский,КПРФ,Александров Александр Геннадьевич
Алтуфьевский,КПРФ,Александрова Ирина Сергеевна
Алтуфьевский,Новые люди,Белобоков Илья Дмитриевич
Алтуфьевский,Единая Россия,Будюкина Светлана Владимировна
Алтуфьевский,КПРФ,Гайнова Наталья Александровна
Алтуфьевский,Единая Россия,Губанова Надежда Владимировна
Алтуфьевский,Единая Россия,Еремина Наталья Викторовна
Алтуфьевский,Новые люди,Изотов Илья Сергеевич
Алтуфьевский,КПРФ,Калинина Екатерина Михайловна
Алтуфьевский,СРЗП,Капусткин Вадим Валерьевич
Алтуфьевский,Единая Россия,Карпенко Тамара Шалвовна
Алтуфьевский,СРЗП,Селиванов Антон Сергеевич
Алтуфьевский,КПРФ,Сучков Олег Викторович
Алтуфьевский,Единая Россия,Якубовский Александр Романович
Алтуфьевский,КПРФ,Вишневская Евгения Алексеевна
Алтуфьевский,КПРФ,Вишневская Маргарита Михайловна
Алтуфьевский,Единая Россия,Володин Алексей Алексеевич
Алтуфьевский,Единая Россия,Гарбузов Василий Николаевич
Алтуфьевский,КПРФ,Лебедева Елена Львовна
Алтуфьевский,Новые люди,Лендрасов Артем Сергеевич
Алтуфьевский,КПРФ,Лобанов Максим Андреевич
Алтуфьевский,Единая Россия,Марковцева Ольга Николаевна
Алтуфьевский,СРЗП,Матросов Александр Александрович
Алтуфьевский,СРЗП,Рябчикова Ольга Александровна
Алтуфьевский,КПРФ,Шабанов Константин Владимирович
Алтуфьевский,Единая Россия,Шуршиков Валерий Валерьевич
Алтуфьевский,Единая Россия,Щеверова Марина Петровна
Арбат,КПРФ,Алексеев Антон Александрович
Арбат,Единая Россия,Алимова Юлия Викторовна
Арбат,Единая Россия,Бабенко Евгений Петрович
Арбат,Единая Россия,Буденный Алексей Сергеевич
Арбат,Самовыдвижение,Джагаев Иосиф Русланович
Арбат,СРЗП,Ершова Зоя Васильевна
Арбат,СРЗП,Лобанов Евгений Александрович
Арбат,КПРФ,Лысенков Юрий Алексеевич
Арбат,КПРФ,Мишин Виктор Максимович
Арбат,КПРФ,Рауфф Асель Рауифовна
Арбат,КПРФ,Сердюков Кирилл Геннадьевич
Арбат,Единая Россия,Тиунова Виктория Викторовна
Арбат,Единая Россия,Шаманин Владимир Сергеевич
Арбат,Яблоко,Алешкина Татьяна Михайловна
Арбат,КПРФ,Бужинская Алина Владимировна
Арбат,Единая Россия,Визжилина Ольга Александровна
Арбат,Новые люди,Волков Антон Николаевич
Арбат,КПРФ,Вонаршенко Елена Владимировна
Арбат,СРЗП,Горбачева Лариса Константиновна
Арбат,СРЗП,Дорогова Ольга Геннадьевна
Арбат,Новые люди,Жигачев Василий Маратович
Арбат,Единая Россия,Зуев Алексей Викторович
Арбат,Яблоко,Какителашвили Сергей Ильич
Арбат,КПРФ,Котов Николай Денисович
Арбат,Новые люди,Лесняк Дмитрий Анатольевич
Арбат,Единая Россия,Магонов Антон Александрович
Арбат,КПРФ,Муравьева Ольга Александровна
Арбат,Единая Россия,Полегаева Ирина Леонардовна
Арбат,КПРФ,Примак Сергей Владимирович
Арбат,Новые люди,Стародубцев Илья Игоревич
Арбат,СРЗП,Шерков Олег Владиславович
Арбат,Единая Россия,Яковенко Вера Николаевна
Арбат,Новые люди,Якушин Александр Сергеевич
Аэропорт,Единая Россия,Боброва Ирина Ивановна
Аэропорт,СРЗП,Богачева Алиса Юрьевна
Аэропорт,Единая Россия,Буткова Светлана Львовна
Аэропорт,СРЗП,Дунцев Александр Юрьевич
Аэропорт,Яблоко,Лунькова Татьяна Валерьевна
Аэропорт,Единая Россия,Масякин Антон Валерьевич
Аэропорт,Единая Россия,Недышилов Анатолий Геннадьевич
Аэропорт,СРЗП,Шухман Владислава Геннадиевна
Аэропорт,Яблоко,Щербаченко Анна Адольфовна
Аэропорт,Единая Россия,Жеков Сергей Федорович
Аэропорт,Яблоко,Закаблуковская Юлия Валерьевна
Аэропорт,Единая Россия,Князев Дмитрий Алексеевич
Аэропорт,СРЗП,Литвинов Станислав Юрьевич
Аэропорт,Единая Россия,Овсянников Виктор Александрович
Аэропорт,КПРФ,Смольников Александр Степанович
Аэропорт,Единая Россия,Соколова Татьяна Васильевна
Аэропорт,Яблоко,Струкова Татьяна Владимировна
Аэропорт,КПРФ,Сухарев Иван Дмитриевич
Аэропорт,КПРФ,Якутин Евгений Фёдорович
Аэропорт,Яблоко,Климовицкая Инна Анатольевна
Аэропорт,Единая Россия,Копейкина Екатерина Николаевна
Аэропорт,Единая Россия,Коробочка Анатолий Васильевич
Аэропорт,СРЗП,Лебедев Николай Александрович
Аэропорт,Единая Россия,Мрочко Андрей Николаевич
Аэропорт,СРЗП,Поняхина Марина Анатольевна
Аэропорт,Единая Россия,Рыбальченко Елена Александровна
Аэропорт,Новые люди,Сеславин Андрей Николаевич
Аэропорт,Новые люди,Суздалицкая Ольга Михайловна
Аэропорт,Новые люди,Токаев Максим Олегович
Аэропорт,Яблоко,Яровенко Владимир Олегович
Аэропорт,Субъект выдвижения неизвестен,Балановский Леонид Игоревич
Аэропорт,Субъект выдвижения неизвестен,Дунько Дмитрий
Аэропорт,Самовыдвижение,Томилина Яна Альбертовна
Аэропорт,Субъект выдвижения неизвестен,Ярилин Павел Анатольевич
Бабушкинский,Единая Россия,Бутрина Елена Владимировна
Бабушкинский,Новые люди,Джапаридзе Роман Мерабиевич
Бабушкинский,СРЗП,Еремин Пётр Дмитриевич
Бабушкинский,Единая Россия,Катанский Алексей Алексеевич
Бабушкинский,Единая Россия,Киселева Лидия Петровна
Бабушкинский,Самовыдвижение,Кузнецов Владислав Викторович
Бабушкинский,Единая Россия,Лифанцев Илья Борисович
Бабушкинский,Новые люди,Пересыпкин Никита Александрович
Бабушкинский,Единая Россия,Хуснутдинов Александр Николаевич
Бабушкинский,Единая Россия,Алексеева Татьяна Ивановна
Бабушкинский,Единая Россия,Демин Валерий Викторович
Бабушкинский,Единая Россия,Захарчук Ольга Александровна
Бабушкинский,КПРФ,Корытов Антон Юрьевич
Бабушкинский,Новые люди,Леонова Виктория Андреевна
Бабушкинский,СРЗП,Михайлов Андрей Анатольевич
Бабушкинский,Единая Россия,Новкис Александр Вячеславович
Бабушкинский,Новые люди,Озерова Эллада Константиновна
Бабушкинский,СРЗП,Шаклеин Владимир Леонидович
Бабушкинский,Единая Россия,Шурлыкина Оксана Игоревна
Бабушкинский,Самовыдвижение,Борунов Дмитрий
Бабушкинский,Субъект выдвижения неизвестен,Вонс Екатерина Владимировна
Басманный,Новые люди,Бершадский Андрей Сергеевич
Басманный,Яблоко,Бойков Константин Анатольевич
Басманный,Единая Россия,Бусыгина Анастасия Владимировна
Басманный,СРЗП,Вахурин Алексей Львович
Басманный,Новые люди,Егармин Даниил Игоревич
Басманный,СРЗП,Жуков Владислав Владимирович
Басманный,КПРФ,Иванов Павел Викторович
Басманный,Яблоко,Карпов Савва Валерьевич
Басманный,Единая Россия,Косец Ольга Валентиновна
Басманный,Самовыдвижение,Курмамбаев Роберт Мурзабекович
Басманный,Самовыдвижение,Мацнев Кирилл Константинович
Басманный,Единая Россия,Мелоян Арсен Агасиевич
Басманный,Единая Россия,Мельников Иван Александрович
Басманный,СРЗП,Миронов Даниил Максимович
Басманный,КПРФ,Морковкин Александр Валерьевич
Басманный,КПРФ,Никитина Екатерина Алексеевна
Басманный,Новые люди,Сазонов Иван Романович
Басманный,КПРФ,Токарев Антон Борисович
Басманный,Яблоко,Шлегель Икар Борисович
Басманный,Новые люди,Щедрин Виктор Андреевич
Басманный,Новые люди,Ануфриев Кирилл Владимирович
Басманный,КПРФ,Боева Анастасия Алексеевна
Басманный,Единая Россия,Бондарь Вероника Михайловна
Басманный,Яблоко,Голубева Ирина Александровна
Басманный,КПРФ,Гришина Екатерина Аркадьевна
Басманный,Яблоко,Дорофеев Иван Ильич
Басманный,Яблоко,Кузнецова Валерия Евгеньевна
Басманный,Единая Россия,Лактионова Елена Викторовна
Басманный,Единая Россия,Ликутов Александр Константинович
Басманный,СРЗП,Михайлова Инна Геннадьевна
Басманный,Новые люди,Овчинникова Инна Львовна
Басманный,Яблоко,Папин Денис Алексеевич
Басманный,СРЗП,Прокофьев Александр Александрович
Басманный,КПРФ,Разенков Дмитрий Андреевич
Басманный,КПРФ,Римский Максим Алексеевич
Басманный,Новые люди,Романов Михаил Николаевич
Басманный,СРЗП,Сенчугов Христиан Владимирович
Басманный,Новые люди,Соколова Анна Анатольевна
Басманный,СРЗП,Таран Сергей Александрович
Басманный,Единая Россия,Фомичева  Юлия Александровна
Басманный,Единая Россия,Абаева Ирина Валерьевна
Басманный,Яблоко,Аркин Никита Олегович
Басманный,Яблоко,Белякова Милена Олеговна
Басманный,СРЗП,Виробян Давид Артурович
Басманный,Новые люди,Гордеева Анастасия Сергеевна
Басманный,КПРФ,Дубинин Глеб Владимирович
Басманный,КПРФ,Ерофеева Татьяна Владимировна
Басманный,Яблоко,Кавказский Николай Юрьевич
Басманный,Единая Россия,Лукинова Елена Николаевна
Басманный,СРЗП,Мазнев Андрей Анатольевич
Басманный,Единая Россия,Мейер Виктор Викторович
Басманный,Яблоко,Несмелов Даниил Романович
Басманный,СРЗП,Николаева Наталья Вадимовна
Басманный,КПРФ,О’Шеннон Андрей Александрович
Басманный,Единая Россия,Эстон Олег Владимирович
Басманный,КПРФ,Ягудов Расул Романович
Басманный,Самовыдвижение,Яхин Рамиль Ренатович
Беговой,Яблоко,Бридже Дмитрий Талал
Беговой,СРЗП,Жебраков Михаил Владимирович
Беговой,Единая Россия,Зайцев Дмитрий Сергеевич
Беговой,СРЗП,Калашникова Юлия Михайловна
Беговой,Единая Россия,Кондратьева Светлана Алексеевна
Беговой,Единая Россия,Коэн Наталия Альбертовна
Беговой,КПРФ,Лихонина Ирина Анатольевна
Беговой,Единая Россия,Переседов Евгений Игоревич
Беговой,Новые люди,Перцев Леонид Алексеевич
Беговой,КПРФ,Петров Олег Александрович
Беговой,СРЗП,Санаева Ирина Валерьевна
Беговой,Единая Россия,Сороколетов Сергей Михайлович
Беговой,СРЗП,Тарасов Степан Михайлович
Беговой,Единая Россия,Адамов Павел Анатольевич
Беговой,Новые люди,Бобровников Данил Дмитриевич
Беговой,СРЗП,Бородин Александр Сергеевич
Беговой,Новые люди,Гречаник Даниил Алексеевич
Беговой,Единая Россия,Громов Иван Александрович
Беговой,Новые люди,Добровольская Ольга Николаевна
Беговой,Новые люди,Закирова Елена Рахимовна
Беговой,Единая Россия,Калинина Елена Михайловна
Беговой,СРЗП,Карамурзин Рустам Хамитович
Беговой,СРЗП,Корягин Алексей Евгеньевич
Беговой,СРЗП,Липатов Сергей Николаевич
Беговой,Единая Россия,Наумов Николай Николаевич
Беговой,Единая Россия,Скоробогатов Владимир Васильевич
Беговой,КПРФ,Соколова Марина Викторовна
Беговой,Субъект выдвижения неизвестен,Андрианова Зоя Алексеевна
Бескудниковский,Новые люди,Веселова Светлана Владимировна
Бескудниковский,Единая Россия,Ганбатын Станислав Батсухович
Бескудниковский,КПРФ,Грачева Зоя Сергеевна
Бескудниковский,Новые люди,Гудим Прохор Александрович
Бескудниковский,Единая Россия,Карачаровская Владислава Михайловна
Бескудниковский,Новые люди,Кашев Александр Вячеславович
Бескудниковский,КПРФ,Климова Юлия Олеговна
Бескудниковский,Единая Россия,Комиссарова Ольга Александровна
Бескудниковский,Единая Россия,Копаева Анастасия Александровна
Бескудниковский,СРЗП,Макарова Анастасия Викторовна
Бескудниковский,КПРФ,Митронина Елена Валерьевна
Бескудниковский,Единая Россия,Мкртчян Сюзанна Зориевна
Бескудниковский,КПРФ,Руднева Елена Владимировна
Бескудниковский,СРЗП,Фурман Ольга Константиновна
Бескудниковский,СРЗП,Юрков Владислав Николаевич
Бескудниковский,Новые люди,Веселов Андрей Николаевич
Бескудниковский,Единая Россия,Громаков Сергей Владимирович
Бескудниковский,Единая Россия,Дорофеева Елена Олеговна
Бескудниковский,Единая Россия,Камарзина Татьяна Владимировна
Бескудниковский,Единая Россия,Кузнецов Алексей Анатольевич
Бескудниковский,СРЗП,Кучеренко Анна Владимировна
Бескудниковский,Единая Россия,Манаева Наталья Вячеславовна
Бескудниковский,Новые люди,Мололкин Дмитрий Алексеевич
Бескудниковский,СРЗП,Молчанова Анна Валерьевна
Бескудниковский,КПРФ,Тиханков Илья Леонидович
Бескудниковский,КПРФ,Холматов Рустам Бектемирович
Бескудниковский,Новые люди,Чекалин Иван Владимирович
Бескудниковский,СРЗП,Чехов Евгений Игоревич
Бескудниковский,КПРФ,Щеглов Петр Алексеевич
Бибирево,Единая Россия,Аршанский Александр Валерьевич
Бибирево,Новые люди,Бугай Иван Евгеньевич
Бибирево,КПРФ,Жарков Максим Алексеевич
Бибирево,КПРФ,Колесникова Марина Александровна
Бибирево,СРЗП,Колпаков Михаил Викторович
Бибирево,Единая Россия,Макаренкова Ольга Евгеньевна
Бибирево,СРЗП,Михайлов Андрей Сергеевич
Бибирево,СРЗП,Морозов Александр Игоревич
Бибирево,КПРФ,Орлова Светлана Леонидовна
Бибирево,Единая Россия,Патрикеева Ирина Джолдошевна
Бибирево,КПРФ,Смирнов Сергей Александрович
Бибирево,Единая Россия,Эльдаров Камиль Сраждинович
Бибирево,КПРФ,Акмаев Максим Иванович
Бибирево,Единая Россия,Волощенко Оксана Витальевна
Бибирево,Новые люди,Козленко Алексей Владимирович
Бибирево,Единая Россия,Косарева Елена Владимировна
Бибирево,КПРФ,Куричин Александр Константинович
Бибирево,Новые люди,Никитин Александр Дмитриевич
Бибирево,Единая Россия,Островский Михаил Александрович
Бибирево,СРЗП,Смирнов Евгений Александрович
Бибирево,КПРФ,Стрельникова-Панченко Светлана Анатольевна
Бибирево,КПРФ,Турутин Алексей Викторович
Бибирево,Единая Россия,Филиппова Евгения Александровна
Бибирево,Единая Россия,Анин Сергей Александрович
Бибирево,Единая Россия,Власкин Максим Геннадьевич
Бибирево,КПРФ,Воронин Сергей Анатольевич
Бибирево,Единая Россия,Ганжа Валентина Витальевна
Бибирево,КПРФ,Гладилин Олег Александрович
Бибирево,КПРФ,Капитонов Александр Владимирович
Бибирево,Единая Россия,Моргунов Александр Игоревич
Бибирево,КПРФ,Ходжич Марина Витальевна
Бибирево,СРЗП,Черемсин Егор Вячеславович
Бибирево,Самовыдвижение,Белов Георгий
Бирюлево Восточное,Самовыдвижение,Андрианова Александра Валерьевна
Бирюлево Восточное,Самовыдвижение,Виткалова Оксана Олеговна
Бирюлево Восточное,КПРФ,Воробьёв Леонид Дмитриевич
Бирюлево Восточное,Яблоко,Гайсин Али-Хан Ойратович
Бирюлево Восточное,Новые люди,Дьяконова Анастасия Евгеньевна
Бирюлево Восточное,СРЗП,Золкин Евгений Викторович
Бирюлево Восточное,Самовыдвижение,Иванова Юлия Игоревна
Бирюлево Восточное,Единая Россия,Ильясов Харис Нябиуллович
Бирюлево Восточное,СРЗП,Кабанец Нина Константиновна
Бирюлево Восточное,Самовыдвижение,Каценко Юлия Евгеньевна
Бирюлево Восточное,СРЗП,Михайлов Иоанн Иакимович
Бирюлево Восточное,Единая Россия,Молчанов Павел Викторович
Бирюлево Восточное,Единая Россия,Нерсесова Елена Валериевна
Бирюлево Восточное,Единая Россия,Птицына Ксения Кирилловна
Бирюлево Восточное,Единая Россия,Сычева Наталья Владимировна
Бирюлево Восточное,Единая Россия,Алейникова Юлия Владимировна
Бирюлево Восточное,КПРФ,Андреев Александр Юрьевич
Бирюлево Восточное,Единая Россия,Антонова Лариса Петровна
Бирюлево Восточное,КПРФ,Бортко Ирина Иосифовна
Бирюлево Восточное,Единая Россия,Голубева Елена Васильевна
Бирюлево Восточное,Новые люди,Григоренко Яна Валерьевна
Бирюлево Восточное,КПРФ,Кадыков Юрий Анатольевич
Бирюлево Восточное,СРЗП,Капралова Марина Леонидовна
Бирюлево Восточное,Единая Россия,Кутайсова Наталья Викторовна
Бирюлево Восточное,Самовыдвижение,Матусяк Иван Игоревич
Бирюлево Восточное,СРЗП,Мельникова Екатерина Андреевна
Бирюлево Восточное,СРЗП,Основская Ольга Геннадьевна
Бирюлево Восточное,Единая Россия,Рытов Сергей Владимирович
Бирюлево Восточное,КПРФ,Синицын Юрий Васильевич
Бирюлево Восточное,КПРФ,Соколов Алексей Владимирович
Бирюлево Восточное,Субъект выдвижения неизвестен,Булдаков Николай
Бирюлево Западное,Единая Россия,Бойков Алексей Александрович
Бирюлево Западное,Единая Россия,Есин Александр Борисович
Бирюлево Западное,Новые люди,Козлова Светлана Александровна
Бирюлево Западное,Единая Россия,Конарев Илья Сергеевич
Бирюлево Западное,КПРФ,Костолындина Алла Али-Азгаровна
Бирюлево Западное,Единая Россия,Леликова Елена Сергеевна
Бирюлево Западное,Единая Россия,Терехова Ирина Юрьевна
Бирюлево Западное,Единая Россия,Бурых Ярослав Юрьевич
Бирюлево Западное,Единая Россия,Виноградова Елена Геннадьевна
Бирюлево Западное,Единая Россия,Жабина Татьяна Викторовна
Бирюлево Западное,Новые люди,Курдюмов Данила Андреевич
